nutrients,treatment,species,day,N,area_stand,sd,se,label
high,LM,TOT,10,6,11.3002571,2.4223689,0.98892797,a
high,LMSP,TOT,10,6,6.743884,2.2340188,0.91203434,"a,b"
high,LMSPWB,TOT,10,6,5.6150476,1.4305993,0.58403971,b
high,LMWB,TOT,10,6,6.2833651,0.7179906,0.29311842,"a,b"
high,SP,TOT,10,6,7.494713,2.2073111,0.90113099,"a,b"
high,SPWB,TOT,10,6,5.312359,1.1906302,0.48607275,b
high,WB,TOT,10,6,6.9089092,2.7093563,1.10609009,"a,b"
low,LM,TOT,10,6,2.1651813,0.3045602,0.12433618,c
low,LMSP,TOT,10,6,1.6228937,0.2886362,0.11783523,"c,d,e"
low,LMSPWB,TOT,10,6,1.3233622,0.2504634,0.10225125,"d,e,f"
low,LMWB,TOT,10,6,1.5102635,0.2631883,0.10744618,"c,d,e"
low,SP,TOT,10,6,1.815589,0.3144659,0.12838016,"c,d"
low,SPWB,TOT,10,6,1.1819247,0.1818504,0.07424013,"e,f"
low,WB,TOT,10,6,0.9482515,0.2244069,0.09161373,f
