id,plate,well,nutrients,treatment,day,LM,SP,WB
2,A,2,low,LM,0,46.374,,
2,A,2,low,LM,2,48.849,,
2,A,2,low,LM,4,48.849,,
2,A,2,low,LM,6,77.692,,
2,A,2,low,LM,8,85.586,,
2,A,2,low,LM,10,99.607,,
5,A,5,high,LM,0,44.223,,
5,A,5,high,LM,2,58.71,,
5,A,5,high,LM,4,58.71,,
5,A,5,high,LM,6,218.145,,
5,A,5,high,LM,8,341.77,,
5,A,5,high,LM,10,446.207,,
19,D,1,high,LM,0,43.784,,
19,D,1,high,LM,2,67.93,,
19,D,1,high,LM,4,67.93,,
19,D,1,high,LM,6,263.005,,
19,D,1,high,LM,8,406.652,,
19,D,1,high,LM,10,521.473,,
22,D,4,low,LM,0,59.023,,
22,D,4,low,LM,2,70.759,,
22,D,4,low,LM,4,70.759,,
22,D,4,low,LM,6,102.066,,
22,D,4,low,LM,8,106.773,,
22,D,4,low,LM,10,99.625,,
33,F,3,high,LM,0,47.52,,
33,F,3,high,LM,2,71.872,,
33,F,3,high,LM,4,71.872,,
33,F,3,high,LM,6,273.464,,
33,F,3,high,LM,8,392.16,,
33,F,3,high,LM,10,528.707,,
36,F,6,low,LM,0,53.7,,
36,F,6,low,LM,2,66.475,,
36,F,6,low,LM,4,66.475,,
36,F,6,low,LM,6,107.474,,
36,F,6,low,LM,8,120.922,,
36,F,6,low,LM,10,113.662,,
50,I,2,low,LM,0,52.172,,
50,I,2,low,LM,2,75.317,,
50,I,2,low,LM,4,75.317,,
50,I,2,low,LM,6,120.64,,
50,I,2,low,LM,8,124.314,,
50,I,2,low,LM,10,133.409,,
53,I,5,high,LM,0,31.539,,
53,I,5,high,LM,2,52.993,,
53,I,5,high,LM,4,52.993,,
53,I,5,high,LM,6,194.305,,
53,I,5,high,LM,8,315.114,,
53,I,5,high,LM,10,471.341,,
67,L,1,high,LM,0,58.242,,
67,L,1,high,LM,2,80.467,,
67,L,1,high,LM,4,80.467,,
67,L,1,high,LM,6,234.586,,
67,L,1,high,LM,8,329.498,,
67,L,1,high,LM,10,443.876,,
70,L,4,low,LM,0,52.528,,
70,L,4,low,LM,2,64.926,,
70,L,4,low,LM,4,64.926,,
70,L,4,low,LM,6,94.922,,
70,L,4,low,LM,8,104.516,,
70,L,4,low,LM,10,107.997,,
81,N,3,high,LM,0,42.763,,
81,N,3,high,LM,2,62.435,,
81,N,3,high,LM,4,62.435,,
81,N,3,high,LM,6,245.591,,
81,N,3,high,LM,8,379.454,,
81,N,3,high,LM,10,517.841,,
84,N,6,low,LM,0,53.313,,
84,N,6,low,LM,2,64.401,,
84,N,6,low,LM,4,64.401,,
84,N,6,low,LM,6,99.557,,
84,N,6,low,LM,8,125.963,,
84,N,6,low,LM,10,129.315,,
8,B,2,high,LMSP,0,25.582,62.811,
8,B,2,high,LMSP,2,50.127,82.317,
