Plate,Well ,Nutrients,Treatment,area_LM_day00,area_SP_day00,area_WB_day00,area_TOT_day00,comp_LM_day00,comp_SP_day00,comp_WB_day00,area_LM_day02,area_SP_day02,area_WB_day02,area_TOT_day02,comp_LM_day02,comp_SP_day02,comp_WB_day02,area_LM_day04,area_SP_day04,area_WB_day04,area_TOT_day04,comp_LM_day04,comp_SP_day04,comp_WB_day04,area_LM_day06,area_SP_day06,area_WB_day06,area_TOT_day06,comp_LM_day06,comp_SP_day06,comp_WB_day06,area_LM_day08,area_SP_day08,area_WB_day08,area_TOT_day08,comp_LM_day08,comp_SP_day08,comp_WB_day08,area_LM_day10,area_SP_day10,area_WB_day10,area_TOT_day10,comp_LM_day10,comp_SP_day10,comp_WB_day10
A,1,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,2,low,LM,46.374,0,0,46.374,100,0,0,48.849,0,0,48.849,100,0,0,64.585,0,0,64.585,`,0,0,77.692,0,0,77.692,`,0,0,85.586,0,0,85.586,`,0,0,99.607,0,0,99.607,`,0,0
A,3,low,SP,0,58.251,0,58.251,0,100,0,0,76.941,0,76.941,0,100,0,0,101.003,0,101.003,0,100,0,0,111.415,0,111.415,0,100,0,0,126.543,0,126.543,0,100,0,0,139.811,0,139.811,0,100,0
A,4,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,5,high,LM,44.223,0,0,44.223,100,0,0,58.71,0,0,58.71,100,0,0,118.709,0,0,118.709,100,0,0,218.145,0,0,218.145,100,0,0,341.77,0,0,341.77,100,0,0,446.207,0,0,446.207,100,0,0
A,6,high,SP,0,72.015,0,72.015,0,100,0,0,104.889,0,104.889,0,100,0,0,219.001,0,219.001,0,100,0,0,372.054,0,372.054,0,100,0,0,547.758,0,547.758,0,100,0,0,740.642,0,740.642,0,100,0
B,1,high,WB,0,0,24.042,24.042,0,0,100,0,0,53.94,53.94,0,0,100,0,0,110.643,110.643,0,0,100,0,0,191.422,191.422,0,0,100,0,0,251.377,251.377,0,0,100,0,0,292.96,292.96,0,0,100
B,2,high,LM & SP,25.582,62.811,0,88.393,28.94120575,71.05879425,0,50.127,82.317,0,132.444,37.84769412,62.15230588,0,96.108,139.622,0,235.73,40.77037288,59.22962712,0,159.121,229.055,0,388.176,40.99197271,59.00802729,0,223.004,300.779,0,523.783,42.57564679,57.42435321,0,305.723,358.767,0,664.49,46.0086683,53.9913317,0
B,3,high,LM & WB,29.96,0,17.347,47.307,63.3310081,0,36.6689919,53.969,0,62.464,116.433,46.35197925,0,53.64802075,97.556,0,102.256,199.812,48.82389446,0,51.17610554,149.517,0,137.067,286.584,52.17213801,0,47.82786199,198.739,0,132.197,330.936,60.05360553,0,39.94639447,245.768,0,120.917,366.685,67.02428515,0,32.97571485
B,4,low,WB,0,0,41.408,41.408,0,0,100,0,0,63.862,63.862,0,0,100,0,0,75.2,75.2,0,0,100,0,0,63.989,63.989,0,0,100,0,0,61.095,61.095,0,0,100,0,0,51.444,51.444,0,0,100
