id,plate,well,nutrients,treatment,species,day,area_mm2,area_stand,comp_rel
1,A,1,low,Blank,Blank,0,,,
1,A,1,low,Blank,TOT,0,,,
2,A,2,low,LM,LM,0,46.374,1,100
2,A,2,low,LM,TOT,0,46.374,1,100
3,A,3,low,SP,SP,0,58.251,1,100
3,A,3,low,SP,TOT,0,58.251,1,100
4,A,4,high,Blank,Blank,0,,,
4,A,4,high,Blank,TOT,0,,,
5,A,5,high,LM,LM,0,44.223,1,100
5,A,5,high,LM,TOT,0,44.223,1,100
6,A,6,high,SP,SP,0,72.015,1,100
6,A,6,high,SP,TOT,0,72.015,1,100
7,B,1,high,WB,WB,0,24.042,1,100
7,B,1,high,WB,TOT,0,24.042,1,100
8,B,2,high,LMSP,LM,0,25.582,1,28.94120575
8,B,2,high,LMSP,SP,0,62.811,1,71.05879425
8,B,2,high,LMSP,TOT,0,88.393,1,100
9,B,3,high,LMWB,LM,0,29.96,1,63.3310081
9,B,3,high,LMWB,WB,0,17.347,1,36.6689919
9,B,3,high,LMWB,TOT,0,47.307,1,100
10,B,4,low,WB,WB,0,41.408,1,100
10,B,4,low,WB,TOT,0,41.408,1,100
11,B,5,low,LMSP,LM,0,37.644,1,47.99632798
11,B,5,low,LMSP,SP,0,40.787,1,52.00367202
11,B,5,low,LMSP,TOT,0,78.431,1,100
12,B,6,low,LMWB,LM,0,19.676,1,46.50327338
12,B,6,low,LMWB,WB,0,22.635,1,53.49672662
12,B,6,low,LMWB,TOT,0,42.311,1,100
13,C,1,low,SPWB,SP,0,40.362,1,60.60451358
13,C,1,low,SPWB,WB,0,26.237,1,39.39548642
13,C,1,low,SPWB,TOT,0,66.599,1,100
14,C,2,low,LMSPWB,LM,0,34.722,1,34.29265595
14,C,2,low,LMSPWB,SP,0,43.148,1,42.61446687
14,C,2,low,LMSPWB,WB,0,23.382,1,23.09287718
14,C,2,low,LMSPWB,TOT,0,101.252,1,100
15,C,3,low,Blank,Blank,0,,,
15,C,3,low,Blank,TOT,0,,,
16,C,4,high,SPWB,SP,0,57.518,1,63.84575253
16,C,4,high,SPWB,WB,0,32.571,1,36.15424747
16,C,4,high,SPWB,TOT,0,90.089,1,100
17,C,5,high,LMSPWB,LM,0,33.774,1,39.64456757
17,C,5,high,LMSPWB,SP,0,21.838,1,25.63386233
17,C,5,high,LMSPWB,WB,0,29.58,1,34.7215701
17,C,5,high,LMSPWB,TOT,0,85.192,1,100
18,C,6,high,Blank,Blank,0,,,
18,C,6,high,Blank,TOT,0,,,
19,D,1,high,LM,LM,0,43.784,1,100
19,D,1,high,LM,TOT,0,43.784,1,100
20,D,2,high,SP,SP,0,61.64,1,100
20,D,2,high,SP,TOT,0,61.64,1,100
21,D,3,high,WB,WB,0,76.611,1,100
21,D,3,high,WB,TOT,0,76.611,1,100
22,D,4,low,LM,LM,0,59.023,1,100
22,D,4,low,LM,TOT,0,59.023,1,100
23,D,5,low,SP,SP,0,74.133,1,100
23,D,5,low,SP,TOT,0,74.133,1,100
24,D,6,low,WB,WB,0,74.262,1,100
24,D,6,low,WB,TOT,0,74.262,1,100
25,E,1,low,LMSP,LM,0,30.398,1,28.31276487
25,E,1,low,LMSP,SP,0,76.967,1,71.68723513
25,E,1,low,LMSP,TOT,0,107.365,1,100
26,E,2,low,LMWB,LM,0,33.43,1,45.10192793
26,E,2,low,LMWB,WB,0,40.691,1,54.89807207
26,E,2,low,LMWB,TOT,0,74.121,1,100
27,E,3,low,SPWB,SP,0,31.948,1,42.47274661
27,E,3,low,SPWB,WB,0,43.272,1,57.52725339
27,E,3,low,SPWB,TOT,0,75.22,1,100
28,E,4,high,LMSP,LM,0,32.468,1,50.2499497
28,E,4,high,LMSP,SP,0,32.145,1,49.7500503
28,E,4,high,LMSP,TOT,0,64.613,1,100
29,E,5,high,LMWB,LM,0,34.814,1,50.62087417
29,E,5,high,LMWB,WB,0,33.96,1,49.37912583
29,E,5,high,LMWB,TOT,0,68.774,1,100
30,E,6,high,SPWB,SP,0,39.926,1,42.5183434
30,E,6,high,SPWB,WB,0,53.977,1,57.4816566
30,E,6,high,SPWB,TOT,0,93.903,1,100
31,F,1,high,LMSPWB,LM,0,36.183,1,35.52158803
31,F,1,high,LMSPWB,SP,0,39.078,1,38.36366849
31,F,1,high,LMSPWB,WB,0,26.601,1,26.11474348
31,F,1,high,LMSPWB,TOT,0,101.862,1,100
32,F,2,high,Blank,Blank,0,,,
32,F,2,high,Blank,TOT,0,,,
33,F,3,high,LM,LM,0,47.52,1,100
33,F,3,high,LM,TOT,0,47.52,1,100
34,F,4,low,LMSPWB,LM,0,27.186,1,30.85496374
34,F,4,low,LMSPWB,SP,0,33.844,1,38.41151301
34,F,4,low,LMSPWB,WB,0,27.079,1,30.73352325
34,F,4,low,LMSPWB,TOT,0,88.109,1,100
35,F,5,low,Blank,Blank,0,,,
35,F,5,low,Blank,TOT,0,,,
36,F,6,low,LM,LM,0,53.7,1,100
36,F,6,low,LM,TOT,0,53.7,1,100
37,G,1,low,SP,SP,0,97.541,1,100
37,G,1,low,SP,TOT,0,97.541,1,100
38,G,2,low,WB,WB,0,70.231,1,100
38,G,2,low,WB,TOT,0,70.231,1,100
39,G,3,low,LMSP,LM,0,38.419,1,46.38631315
39,G,3,low,LMSP,SP,0,44.405,1,53.61368685
39,G,3,low,LMSP,TOT,0,82.824,1,100
40,G,4,high,SP,SP,0,91.534,1,100
40,G,4,high,SP,TOT,0,91.534,1,100
41,G,5,high,WB,WB,0,83.778,1,100
41,G,5,high,WB,TOT,0,83.778,1,100
42,G,6,high,LMSP,LM,0,32.559,1,31.74505675
42,G,6,high,LMSP,SP,0,70.005,1,68.25494325
42,G,6,high,LMSP,TOT,0,102.564,1,100
43,H,1,high,LMWB,LM,0,30.911,1,46.41291291
43,H,1,high,LMWB,WB,0,35.689,1,53.58708709
43,H,1,high,LMWB,TOT,0,66.6,1,100
44,H,2,high,SPWB,SP,0,44.035,1,56.95162959
44,H,2,high,SPWB,WB,0,33.285,1,43.04837041
44,H,2,high,SPWB,TOT,0,77.32,1,100
45,H,3,high,LMSPWB,LM,0,19.483,1,28.56786756
45,H,3,high,LMSPWB,SP,0,22.836,1,33.48436194
45,H,3,high,LMSPWB,WB,0,25.88,1,37.9477705
45,H,3,high,LMSPWB,TOT,0,68.199,1,100
46,H,4,low,LMWB,LM,0,32.84,1,45.25223574
46,H,4,low,LMWB,WB,0,39.731,1,54.74776426
46,H,4,low,LMWB,TOT,0,72.571,1,100
47,H,5,low,SPWB,SP,0,48.93,1,50.13422406
47,H,5,low,SPWB,WB,0,48.668,1,49.86577594
47,H,5,low,SPWB,TOT,0,97.598,1,100
48,H,6,low,LMSPWB,LM,0,15.702,1,16.3763793
