plate,well,nutrients,treatment,LM0,SP0,WB0,TOT0,LM2,SP2,WB2,TOT2,LM4,SP4,WB4,TOT4,LM6,SP6,WB6,TOT6,LM8,SP8,WB8,TOT8,LM10,SP10,WB10,TOT10,rgr1,rgr3,rgr5,rgr7,rgr9,maxRGR,avgRGR
K,2,low,LMSPWB,29.703,33.216,53.63,116.549,31.115,34.507,37.441,103.063,42.766,37.733,41.239,121.738,49.121,39.104,38.101,126.326,52.685,47.685,31.552,131.922,58.882,47.894,28.793,135.569,-0.061485667,0.083265371,0.018497336,0.021672486,0.013634948,0.083265371,0.015116895
J,4,low,WB,0,0,109.752,109.752,0,0,99.836,99.836,0,0,79.715,79.715,0,0,87.143,87.143,0,0,73.446,73.446,0,0,68.624,68.624,-0.047347218,-0.112535533,0.044546337,-0.085500003,-0.033954057,0.044546337,-0.046958095
K,1,low,SPWB,0,61.232,46.674,107.906,0,57.189,44.712,101.901,0,62.193,49.297,111.49,0,69.5,48.253,117.753,0,66.721,40.899,107.62,0,69.684,37.688,107.372,-0.028629362,0.044966574,0.027327155,-0.044991353,-0.001153532,0.044966574,-0.000496104
L,6,low,WB,0,0,92.153,92.153,0,0,89.128,89.128,0,0,122.851,122.851,0,0,101.253,101.253,0,0,86.597,86.597,0,0,81.835,81.835,-0.01668835,0.16044935,-0.096674952,-0.078178581,-0.028280074,0.16044935,-0.011874521
K,4,high,SPWB,0,57.431,77.637,135.068,0,65.046,69.978,135.024,0,87.722,142.505,230.227,0,133.33,218.324,351.654,0,183.808,255.088,438.896,0,228.02,275.795,503.815,-0.000162907,0.266806619,0.211790979,0.110807373,0.068973327,0.266806619,0.131643078
N,4,low,LMSPWB,22.359,46.872,42.376,111.607,28.755,49.517,38.458,116.73,35.488,53.118,37.669,126.275,46.777,58.055,40.833,145.665,59.931,56.431,41.263,157.625,49.672,56.237,30,135.909,0.022439902,0.039299246,0.071423698,0.039454665,-0.074116625,0.071423698,0.019700177
M,3,low,SPWB,0,62.347,72.924,135.271,0,75.402,66.876,142.278,0,86.917,90.025,176.942,0,92.839,63.623,156.462,0,96.587,51.082,147.669,0,90.938,45.671,136.609,0.025251358,0.109019553,-0.061504413,-0.028919943,-0.038925226,0.109019553,0.000984266
A,2,low,LM,46.374,0,0,46.374,48.849,0,0,48.849,64.585,0,0,64.585,77.692,0,0,77.692,85.586,0,0,85.586,99.607,0,0,99.607,0.025997475,0.139624139,0.092385053,0.048384713,0.075855362,0.139624139,0.076449349
P,6,low,LMSPWB,27.673,31.044,58.104,116.821,36.179,34.325,54.383,124.887,41.862,37.51,49.706,129.078,43.847,39.796,46.091,129.734,46.73,34.609,37.573,118.912,50.307,37.601,37.158,125.066,0.03338324,0.016503772,0.002534664,-0.043551238,0.025228937,0.03338324,0.006819875
J,1,high,WB,0,0,78.836,78.836,0,0,84.304,84.304,0,0,151.224,151.224,0,0,283.68,283.68,0,0,337.516,337.516,0,0,410.219,410.219,0.033529784,0.292166434,0.314542331,0.086883037,0.097539123,0.314542331,0.164932142
D,5,low,SP,0,74.133,0,74.133,0,79.287,0,79.287,0,87.307,0,87.307,0,97.793,0,97.793,0,105.191,0,105.191,0,108.157,0,108.157,0.033606702,0.048178231,0.056711178,0.036462373,0.013903065,0.056711178,0.03777231
L,3,high,WB,0,0,83.878,83.878,0,0,90.245,90.245,0,0,191.414,191.414,0,0,290.788,290.788,0,0,391.171,391.171,0,0,488.132,488.132,0.036582416,0.375955214,0.209077929,0.148275163,0.110720528,0.375955214,0.17612225
O,2,low,WB,0,0,73.771,73.771,0,0,79.923,79.923,0,0,81.836,81.836,0,0,66.877,66.877,0,0,79.494,79.494,0,0,62.883,62.883,0.040048985,0.011826787,-0.100931067,0.086413218,-0.117202845,0.086413218,-0.015968984
O,1,low,SP,0,47.055,0,47.055,0,51.503,0,51.503,0,58.952,0,58.952,0,66.803,0,66.803,0,69.45,0,69.45,0,78.567,0,78.567,0.045161464,0.067541748,0.062512218,0.01942954,0.061672347,0.067541748,0.051263463
O,4,high,SP,0,63.006,0,63.006,0,70.388,0,70.388,0,97.664,0,97.664,0,129.422,0,129.422,0,204.955,0,204.955,0,312.065,0,312.065,0.055396417,0.163755111,0.140772683,0.22985603,0.210210528,0.22985603,0.159998154
K,5,high,LMSPWB,40.838,61.649,60.151,162.638,55.649,84.22,46.35,186.219,91.522,133.288,86.225,311.035,139.757,210.582,122.979,473.318,187.03,274.937,123.091,585.058,231.417,336.562,122.555,690.534,0.067698264,0.256491023,0.20993101,0.10597176,0.082877112,0.256491023,0.144593834
E,1,low,LMSP,30.398,76.967,0,107.365,37.407,86.309,0,123.716,52.41,95.769,0,148.179,57.357,109.881,0,167.238,65.956,115.538,0,181.494,62.936,90.406,0,153.342,0.070877186,0.090216193,0.060498473,0.040902324,-0.084275937,0.090216193,0.035643648
J,5,low,LMSP,60.101,48.84,0,108.941,65.549,60.754,0,126.303,71.872,58.855,0,130.727,84.074,61.185,0,145.259,91.783,64.372,0,156.155,85.814,61.377,0,147.191,0.073938665,0.017213699,0.052703588,0.036165374,-0.02955902,0.073938665,0.030092461
D,2,high,SP,0,61.64,0,61.64,0,72.502,0,72.502,0,83.218,0,83.218,0,138.949,0,138.949,0,243.344,0,243.344,0,350.656,0,350.656,0.081151569,0.068924761,0.256321644,0.28018456,0.182664803,0.28018456,0.173849468
M,2,low,LMWB,28.446,0,70.763,99.209,38.589,0,78.932,117.521,49.32,0,84.916,134.236,55.923,0,61.017,116.94,60.944,0,57.199,118.143,61.535,0,48.999,110.534,0.084694153,0.066491202,-0.068969231,0.005117386,-0.033286295,0.084694153,0.010809443
