plate,well,nutrients,treatment,LM0,SP0,WB0,TOT0,LM2,SP2,WB2,TOT2,LM4,SP4,WB4,TOT4,LM6,SP6,WB6,TOT6,LM8,SP8,WB8,TOT8,LM10,SP10,WB10,TOT10
A,1,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,2,low,LM,46.374,0,0,46.374,48.849,0,0,48.849,64.585,0,0,64.585,77.692,0,0,77.692,85.586,0,0,85.586,99.607,0,0,99.607
A,3,low,SP,0,58.251,0,58.251,0,76.941,0,76.941,0,101.003,0,101.003,0,111.415,0,111.415,0,126.543,0,126.543,0,139.811,0,139.811
A,4,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,5,high,LM,44.223,0,0,44.223,58.71,0,0,58.71,118.709,0,0,118.709,218.145,0,0,218.145,341.77,0,0,341.77,446.207,0,0,446.207
A,6,high,SP,0,72.015,0,72.015,0,104.889,0,104.889,0,219.001,0,219.001,0,372.054,0,372.054,0,547.758,0,547.758,0,740.642,0,740.642
B,1,high,WB,0,0,24.042,24.042,0,0,53.94,53.94,0,0,110.643,110.643,0,0,191.422,191.422,0,0,251.377,251.377,0,0,292.96,292.96
B,2,high,LMSP,25.582,62.811,0,88.393,50.127,82.317,0,132.444,96.108,139.622,0,235.73,159.121,229.055,0,388.176,223.004,300.779,0,523.783,305.723,358.767,0,664.49
B,3,high,LMWB,29.96,0,17.347,47.307,53.969,0,62.464,116.433,97.556,0,102.256,199.812,149.517,0,137.067,286.584,198.739,0,132.197,330.936,245.768,0,120.917,366.685
B,4,low,WB,0,0,41.408,41.408,0,0,63.862,63.862,0,0,75.2,75.2,0,0,63.989,63.989,0,0,61.095,61.095,0,0,51.444,51.444
B,5,low,LMSP,37.644,40.787,0,78.431,50.235,57.303,0,107.538,60.198,66.692,0,126.89,67.365,76.036,0,143.401,68.521,78.024,0,146.545,73.288,80.459,0,153.747
B,6,low,LMWB,19.676,0,22.635,42.311,28.436,0,59.551,87.987,38.324,0,59.315,97.639,45.916,0,54.855,100.771,50.403,0,45.934,96.337,49.859,0,40.977,90.836
C,1,low,SPWB,0,40.362,26.237,66.599,0,63.977,52.399,116.376,0,67.711,39.98,107.691,0,78.964,41.477,120.441,0,76.818,34.922,111.74,0,69.741,26.956,96.697
C,2,low,LMSPWB,34.722,43.148,23.382,101.252,45.103,53.892,39.507,138.502,54.772,58.432,36.589,149.793,54.422,73.895,42.937,171.254,56.943,69.64,37.174,163.757,57.467,66.676,27.124,151.267
C,3,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,4,high,SPWB,0,57.518,32.571,90.089,0,82.801,59.557,142.358,0,131.134,100.173,231.307,0,222.464,192.569,415.033,0,296.38,182.298,478.678,0,333.935,164.468,498.403
C,5,high,LMSPWB,33.774,21.838,29.58,85.192,57.372,33.496,54.189,145.057,92.257,59.09,81.53,232.877,155.022,107.661,147.521,410.204,202.476,150.749,138.658,491.883,265.266,179.734,121.567,566.567
C,6,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,1,high,LM,43.784,0,0,43.784,67.93,0,0,67.93,128.618,0,0,128.618,263.005,0,0,263.005,406.652,0,0,406.652,521.473,0,0,521.473
D,2,high,SP,0,61.64,0,61.64,0,72.502,0,72.502,0,83.218,0,83.218,0,138.949,0,138.949,0,243.344,0,243.344,0,350.656,0,350.656
D,3,high,WB,0,0,76.611,76.611,0,0,116.066,116.066,0,0,183.023,183.023,0,0,341.817,341.817,0,0,391.347,391.347,0,0,374.507,374.507
D,4,low,LM,59.023,0,0,59.023,70.759,0,0,70.759,81.506,0,0,81.506,102.066,0,0,102.066,106.773,0,0,106.773,99.625,0,0,99.625
D,5,low,SP,0,74.133,0,74.133,0,79.287,0,79.287,0,87.307,0,87.307,0,97.793,0,97.793,0,105.191,0,105.191,0,108.157,0,108.157
D,6,low,WB,0,0,74.262,74.262,0,0,100.844,100.844,0,0,73.986,73.986,0,0,102.943,102.943,0,0,88.36,88.36,0,0,68.032,68.032
E,1,low,LMSP,30.398,76.967,0,107.365,37.407,86.309,0,123.716,52.41,95.769,0,148.179,57.357,109.881,0,167.238,65.956,115.538,0,181.494,62.936,90.406,0,153.342
E,2,low,LMWB,33.43,0,40.691,74.121,43.701,0,57.263,100.964,55.195,0,51.615,106.81,60.641,0,46.393,107.034,70.261,0,53.145,123.406,73.865,0,41.809,115.674
