nutrients,treatment,species,N,maximum_RGR,sd,se,label
high,LM,LM,6,0.240458,0.022425,0.009155,a
high,LMWB,LM,6,0.21646,0.009806,0.004003,"a, b"
high,LMSP,LM,6,0.206887,0.043621,0.017808,"a, b"
high,LMSPWB,LM,6,0.201983,0.021239,0.008671,b
low,LMWB,LM,6,0.080927,0.005788,0.002363,c
low,LM,LM,6,0.076392,0.014519,0.005927,c
low,LMSPWB,LM,6,0.070554,0.014224,0.005807,c
low,LMSP,LM,6,0.058533,0.03367,0.013746,c
high,LMSP,SP,6,0.168897806,0.040248742,0.01643148,a
high,LMSPWB,SP,6,0.174905217,0.023725186,0.009685767,a
high,SP,SP,6,0.197718484,0.029962273,0.012232047,a
high,SPWB,SP,6,0.174543895,0.019410847,0.007924445,a
low,LMSP,SP,6,0.03835595,0.022182504,0.009055969,b
low,LMSPWB,SP,6,0.030499207,0.017051622,0.006961296,b
low,SP,SP,6,0.058488041,0.016326662,0.006665332,b
low,SPWB,SP,6,0.039944266,0.019391797,0.007916668,b
high,WB,WB,6,0.188148068,0.03320945,0.013557701,a
high,SPWB,WB,6,0.155131896,0.029780891,0.012157998,"a,b"
high,LMWB,WB,6,0.143946666,0.014418927,0.005886502,"a,b"
high,LMSPWB,WB,6,0.11866361,0.049333697,0.020140398,b
low,LMWB,WB,6,-0.00204468,0.021412843,0.008741757,c
low,WB,WB,6,-0.007760279,0.024582866,0.010035913,c
low,LMSPWB,WB,6,-0.016997031,0.036748007,0.015002311,c
low,SPWB,WB,6,-0.023623666,0.026239159,0.010712092,c
