treatment,nutrients,N,RGRvalue,sd,se,RGR,label1,label2
LM,high,6,0.3641529,0.04681644,0.01911273,maximum,a,
WB,high,6,0.3361648,0.0443886,0.01812157,maximum,a,
SP,high,6,0.2954257,0.05186791,0.02117498,maximum,a,
LMWB,high,6,0.2927143,0.03764875,0.01537004,maximum,a,
LMSP,high,6,0.2850615,0.05496152,0.02243795,maximum,a,
SPWB,high,6,0.2831297,0.0292307,0.01193338,maximum,a,
LMSPWB,high,6,0.272419,0.04657854,0.01901561,maximum,a,
LM,low,6,0.1587481,0.03716413,0.01517219,maximum,b,
WB,low,6,0.1394264,0.06236897,0.02546203,maximum,b,
LMWB,low,6,0.1368124,0.04557367,0.01860537,maximum,b,
SPWB,low,6,0.1330492,0.08019392,0.03273903,maximum,b,
LMSP,low,6,0.1094635,0.03460021,0.01412548,maximum,b,
SP,low,6,0.1072901,0.03920124,0.01600384,maximum,b,
LMSPWB,low,6,0.1025856,0.04766402,0.01945875,maximum,b,
LM,high,6,0.240458353,0.0224254,0.009155132,average,,a
SP,high,6,0.197718484,0.02996227,0.012232047,average,,"a,b"
WB,high,6,0.188148068,0.03320945,0.013557701,average,,b
LMSP,high,6,0.184887645,0.04074079,0.016632358,average,,b
LMWB,high,6,0.183271736,0.01102593,0.004501315,average,,b
LMSPWB,high,6,0.169846324,0.0254153,0.010375753,average,,b
SPWB,high,6,0.164902987,0.02252587,0.009196148,average,,b
LM,low,6,0.076391623,0.01451899,0.005927352,average,,c
SP,low,6,0.058488041,0.01632666,0.006665332,average,,"c,d"
LMSP,low,6,0.047086049,0.01794372,0.007325494,average,,"c,d"
LMWB,low,6,0.039916649,0.0179399,0.007323933,average,,"c,d"
LMSPWB,low,6,0.026621787,0.0180039,0.007350061,average,,d
SPWB,low,6,0.015751567,0.01511178,0.006169358,average,,d
WB,low,6,-0.007760279,0.02458287,0.010035913,average,,e
